昵称,性别,聊天内容,时间戳,商品,类别,主播
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537425,茶叶,食品,冬冬
P***,0,[赞][赞][赞][赞],1679537426,茶叶,食品,冬冬
小***,1,上点咖啡,1679537430,茶叶,食品,冬冬
心***,0,冬冬棒棒哒[赞][赞][赞],1679537440,茶叶,食品,冬冬
菲***,0,主播卖啥又不是他决定的。干嘛说我们冬冬,1679537445,茶叶,食品,冬冬
郑***,2,郑周怎么不发货,1679537445,茶叶,食品,冬冬
美***,2,上午好,1679537452,茶叶,食品,冬冬
春***,0,龙井怎么和安吉的价位一样？,1679537456,茶叶,食品,冬冬
菲***,0,我冬那么好,1679537457,茶叶,食品,冬冬
鑫***,2,明前龙井是今年的新茶吗？有没有回甘,1679537458,茶叶,食品,冬冬
一***,2,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],1679537463,茶叶,食品,冬冬
郑***,2,郑州为啥不发货,1679537464,茶叶,食品,冬冬
梦***,2,[赞][赞][赞],1679537465,茶叶,食品,冬冬
徐***,0,有鸡胸肉卖吗？,1679537467,茶叶,食品,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537467,茶叶,食品,冬冬
张***,2,喜欢冬冬,1679537467,茶叶,食品,冬冬
小***,2,喜欢东东,1679537468,茶叶,食品,冬冬
$***,2,当天可以发货吗,1679537470,茶叶,食品,冬冬
一***,2,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679537471,茶叶,食品,冬冬
春***,0,不是头采吧,1679537472,茶叶,食品,冬冬
喵***,2,有普洱吗,1679537473,茶叶,食品,冬冬
东***,0,@郑*** 拍不了可能是附近仓库暂无库存了，可以换个地址试试呢，紧急补货中，请耐心等待哦,1679537478,茶叶,食品,冬冬
🌈***,2,咋还不来,1679537483,茶叶,食品,冬冬
喵***,2,有普洱吗,1679537483,茶叶,食品,冬冬
珍***,2,好喝吗,1679537484,茶叶,食品,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537486,茶叶,食品,冬冬
蓝***,0,有牙膏吗,1679537487,茶叶,食品,冬冬
菲***,0,新手。咱就是。泡少一点淡着点儿喝，慢慢适应,1679537489,茶叶,食品,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537492,茶叶,食品,冬冬
小***,0,我们湖州的茶,1679537496,茶叶,食品,冬冬
V***,2,谁去溯源,1679537501,茶叶,食品,冬冬
岁***,1,虾饼,1679537504,茶叶,食品,冬冬
🌻***,2,没有鸡胸肉吗？,1679537505,茶叶,食品,冬冬
香***,2,[比心][比心][比心][比心],1679537511,茶叶,食品,冬冬
岁***,1,普洱茶,1679537514,茶叶,食品,冬冬
出***,2,牛肉干什么时间还上,1679537514,茶叶,食品,冬冬
燕***,2,[赞][赞][赞][赞][赞],1679537516,茶叶,食品,冬冬
梦***,2,[比心][比心][比心][比心],1679537516,茶叶,食品,冬冬
呀***,2,苹果还有吗,1679537519,茶叶,食品,冬冬
P***,2,都是今年的新茶吗,1679537526,茶叶,食品,冬冬
鑫***,2,明前龙井有没有回甘，或者这三种茶哪个有回甘,1679537526,茶叶,食品,冬冬
叶***,0,冬冬上午好,1679537527,茶叶,食品,冬冬
小***,0,还有水口紫笋茶，农家高山茶。,1679537528,茶叶,食品,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537529,茶叶,食品,冬冬
M***,2,排骨什么时候还上,1679537531,茶叶,食品,冬冬
小***,1,桂圆,1679537534,茶叶,食品,冬冬
阿***,0,春饼就是面皮啊，好多人怎么一点常识都没有。我看春饼就挺好,1679537534,茶叶,食品,冬冬
Й***,2,好吃,1679537535,茶叶,食品,冬冬
菲***,0,绿茶有的人胃受不了。,1679537535,意大利面,食品,冬冬
用***,0,上午好,1679537540,意大利面,食品,冬冬
香***,2,[鼓掌][鼓掌][鼓掌][鼓掌],1679537540,意大利面,食品,冬冬
小***,2,❤️❤️❤️,1679537542,意大利面,食品,冬冬
菲***,0,红茶基本就。随便入,1679537544,意大利面,食品,冬冬
依***,2,求关注,1679537545,意大利面,食品,冬冬
欣***,2,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],1679537548,意大利面,食品,冬冬
鑫***,2,好的,1679537548,意大利面,食品,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537549,意大利面,食品,冬冬
是***,0,很久没看见你了朋友,1679537550,意大利面,食品,冬冬
A***,0,好,1679537552,意大利面,食品,冬冬
欣***,2,[比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心][比心],1679537554,意大利面,食品,冬冬
ヾ***,2,今天有什么水果？,1679537557,意大利面,食品,冬冬
袁***,0,龙井是机器炒制的吗。,1679537563,意大利面,食品,冬冬
菲***,0,我冬看见我了。我好开心,1679537564,意大利面,食品,冬冬
东***,0,小黄车均己开价，有喜欢的品可以直接拍，想要了解更多的可以看下详情页或回放哦，具体咨询链接左下角客服哈,1679537566,意大利面,食品,冬冬
叶***,0,这么早就吃午饭了？[捂脸],1679537566,意大利面,食品,冬冬
孙***,2,空气炸锅有大一点的吗,1679537569,意大利面,食品,冬冬
菲***,0,哈哈哈哈哈哈,1679537570,意大利面,食品,冬冬
@***,2,这个是最安静直播间,1679537571,意大利面,食品,冬冬
P***,0,[赞][赞][赞][赞],1679537575,意大利面,食品,冬冬
喵***,2,我一喝绿茶胃疼,1679537575,意大利面,食品,冬冬
淘***,2,我不会做,1679537581,意大利面,食品,冬冬
孙***,2,空气炸锅有大一点的吗,1679537585,意大利面,食品,冬冬
晏***,2,早上好,1679537585,意大利面,食品,冬冬
黑***,0,冬冬最近都是晚班 哈哈哈哈,1679537586,意大利面,食品,冬冬
梦***,2,[赞][赞][赞][赞],1679537586,意大利面,食品,冬冬
P***,0,[鼓掌][鼓掌][鼓掌][鼓掌],1679537587,意大利面,食品,冬冬
啊***,2,什么时候有佛跳墙呀,1679537591,意大利面,食品,冬冬
东***,0,大家可以点击主播头上的会员好礼加入会员，可领取优惠券并查看积分兑换好礼，在购买自营品时可以使用哦,1679537591,意大利面,食品,冬冬
宝***,0,有没有蓝莓干儿了,1679537592,意大利面,食品,冬冬
随***,0,还有儿童牛奶吗,1679537593,意大利面,食品,冬冬
阿***,2,这个热量好高啊 哥哥,1679537593,意大利面,食品,冬冬
格***,2,来给管家点赞了,1679537594,意大利面,食品,冬冬
P***,0,[比心][比心][比心][比心],1679537594,意大利面,食品,冬冬
哎***,2,山楂六物膏,1679537596,意大利面,食品,冬冬
梦***,2,上午好,1679537601,意大利面,食品,冬冬
华***,0,有猕猴桃卖吗,1679537609,意大利面,食品,冬冬
梦***,2,哈哈哈哈哈,1679537616,意大利面,食品,冬冬
逆***,0,冬冬，有没有养生壶,1679537617,意大利面,食品,冬冬
落***,0,这个超级好吃,1679537620,意大利面,食品,冬冬
L***,2,提个意见：番茄的太咸了,1679537621,意大利面,食品,冬冬
么***,2,虾没有大的了吗？,1679537622,意大利面,食品,冬冬
🌈***,2,梨干还有吗,1679537624,意大利面,食品,冬冬
梦***,2,[赞][赞][赞][赞][赞],1679537625,意大利面,食品,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537627,意大利面,食品,冬冬
宜***,2,买了榴莲,1679537628,意大利面,食品,冬冬
宝***,0,有没有蓝莓干儿了,1679537628,意大利面,食品,冬冬
么***,2,虾什么时候有大的,1679537629,意大利面,食品,冬冬
梦***,2,[比心][比心][比心][比心][比心][比心],1679537630,意大利面,食品,冬冬
梦***,2,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],1679537639,意大利面,食品,冬冬
逆***,0,冬冬，今天有养生壶吗？,1679537641,意大利面,食品,冬冬
鞋***,2,回购很多次 太香了,1679537643,意大利面,食品,冬冬
辰***,2,烤肠开价了吗,1679537644,意大利面,食品,冬冬
樱***,2,哇塞看着就很好吃,1679537648,意大利面,食品,冬冬
梦***,2,[比心][比心][比心][比心][比心],1679537649,意大利面,食品,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537650,意大利面,食品,冬冬
夏***,0,这个好吃[赞],1679537652,意大利面,食品,冬冬
鞋***,2,为意面打call,1679537652,意大利面,食品,冬冬
鞋***,2,太好吃了,1679537657,意大利面,食品,冬冬
东***,0,小黄车均己开价，有喜欢的品可以直接拍，想要了解更多的可以看下详情页或回放哦，具体咨询链接左下角客服哈,1679537658,意大利面,食品,冬冬
叶***,0,这牛肉是意面里自带的？,1679537661,意大利面,食品,冬冬
梦***,2,好吃[赞][赞][赞],1679537663,意大利面,食品,冬冬
小***,2,牛肉是额外加的,1679537666,意大利面,食品,冬冬
燕***,2,看起来好好吃,1679537666,意大利面,食品,冬冬
梦***,2,[赞][赞][赞][赞][赞][赞],1679537668,意大利面,食品,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537670,意大利面,食品,冬冬
随***,0,哇哇，我饿了,1679537671,意大利面,食品,冬冬
L***,2,番茄的太咸了，改进一下,1679537672,意大利面,食品,冬冬
燕***,2,[比心][比心][比心][比心],1679537672,意大利面,食品,冬冬
不***,0,看着好好吃噢,1679537672,意大利面,食品,冬冬
P***,0,[呲牙][呲牙][呲牙][呲牙],1679537674,意大利面,食品,冬冬
梦***,2,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],1679537674,意大利面,食品,冬冬
鞋***,2,这个就有的说了 太香了,1679537675,意大利面,食品,冬冬
落***,0,现在居然没有五倍积分了,1679537676,意大利面,食品,冬冬
P***,0,[比心][比心][比心][比心],1679537676,意大利面,食品,冬冬
艾***,2,这孩子长得好乖的样子,1679537678,意大利面,食品,冬冬
到***,1,上点陈皮吧,1679537679,意大利面,食品,冬冬
宇***,1,枇杷果讲了吗,1679537679,意大利面,食品,冬冬
梦***,2,[比心][比心][比心][比心][比心],1679537683,意大利面,食品,冬冬
🌈***,2,[赞][赞],1679537684,意大利面,食品,冬冬
宝***,0,蓝莓干儿什么时候有,1679537686,意大利面,食品,冬冬
🌈***,2,什么时候有橙汁或桃子汁,1679537686,意大利面,食品,冬冬
2***,2,蓝莓干还有嘛,1679537689,意大利面,食品,冬冬
如***,2,👍🏻👍🏻👍🏻,1679537690,意大利面,食品,冬冬
看***,1,打出来有这么大块牛肉？,1679537691,意大利面,食品,冬冬
烈***,2,[微笑],1679537693,意大利面,食品,冬冬
如***,2,👍🏻👍🏻👍🏻,1679537696,意大利面,食品,冬冬
御***,2,看这好好吃呀,1679537697,意大利面,食品,冬冬
念***,2,[赞][赞][赞],1679537703,意大利面,食品,冬冬
l***,2,五倍积分就到2月底，已经23天都没有了[流泪],1679537705,意大利面,食品,冬冬
小***,2,好多牛肉,1679537705,意大利面,食品,冬冬
包***,0,牛肉分量有这么多吗？,1679537708,意大利面,食品,冬冬
～***,2,有没有适合小孩子吃的零食,1679537710,意大利面,食品,冬冬
🌈***,2,有,1679537710,意大利面,食品,冬冬
夏***,0,是面少了点,1679537710,意大利面,食品,冬冬
无***,0,保鲜盒微波炉加热的还有没,1679537711,意大利面,食品,冬冬
燕***,0,[玫瑰][玫瑰][玫瑰][玫瑰][耶][耶][耶][耶],1679537713,意大利面,食品,冬冬
P***,0,[赞][赞][赞][赞][赞],1679537716,意大利面,食品,冬冬
💨***,0,巨好吃,1679537717,意大利面,食品,冬冬
P***,0,[鼓掌][鼓掌][鼓掌][鼓掌],1679537719,意大利面,食品,冬冬
艾***,2,说咸的小伙伴可以适当减少酱料就可以了,1679537719,意大利面,食品,冬冬
奋***,1,狮子头什么时候,1679537721,意大利面,食品,冬冬
御***,2,好吃又划算[比心],1679537722,意大利面,食品,冬冬
P***,0,[比心][比心][比心],1679537723,意大利面,食品,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537729,意大利面,食品,冬冬
宝***,0,蓝莓干儿有没有了,1679537730,意大利面,食品,冬冬
落***,0,面量在大点,1679537730,意大利面,食品,冬冬
P***,0,[捂脸][捂脸][捂脸][捂脸],1679537731,意大利面,食品,冬冬
红***,2,[赞][赞][赞][赞],1679537733,意大利面,食品,冬冬
P***,0,[飞吻][飞吻][飞吻][飞吻],1679537735,意大利面,食品,冬冬
星***,2,还会有阿胶吗,1679537736,意大利面,食品,冬冬
晴***,2,意面回购好几次，好吃料足,1679537738,意大利面,食品,冬冬
P***,0,[机智][机智][机智][机智],1679537741,意大利面,食品,冬冬
红***,2,[赞][赞][赞][赞],1679537746,意大利面,食品,冬冬
🌈***,2,有，包里很多牛肉,1679537746,意大利面,食品,冬冬
小***,2,我家小孩超级爱吃，可以闭眼拍,1679537746,意大利面,食品,冬冬
橘***,2,和女儿吃一份，再一份沙拉够了,1679537749,意大利面,食品,冬冬
了***,0,我是女生不够吃,1679537752,意大利面,食品,冬冬
张***,2,面条太少了,1679537752,意大利面,食品,冬冬
随***,0,看着就好吃,1679537752,意大利面,食品,冬冬
津***,0,这意面可好了，家人都说好,1679537754,意大利面,食品,冬冬
P***,0,[捂脸][捂脸][捂脸][捂脸],1679537758,意大利面,食品,冬冬
菲***,2,经典番茄里边有肉吗,1679537758,意大利面,食品,冬冬
红***,2,[赞][赞][赞][赞],1679537759,意大利面,食品,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537760,意大利面,食品,冬冬
伍***,2,我儿子胃口好 一份不够吃[捂脸],1679537760,意大利面,食品,冬冬
l***,2,我是女生，我吃的完一份[偷笑],1679537761,意大利面,食品,冬冬
夏***,0,我儿子吃了少的,1679537764,意大利面,食品,冬冬
落***,0,我家7岁宝刚够吃,1679537765,意大利面,食品,冬冬
💨***,0,一点都不咸，吃过最好吃的方便意面,1679537766,意大利面,食品,冬冬
随***,0,反正我是不够吃[捂脸],1679537767,意大利面,食品,冬冬
无***,0,今天有保鲜盒？,1679537768,意大利面,食品,冬冬
小***,2,吃不完的,1679537769,意大利面,食品,冬冬
了***,0,我是女生不够吃,1679537769,意大利面,食品,冬冬
阿***,2,大虾在哪开价没开价没开价没,1679537770,意大利面,食品,冬冬
念***,0,一份我吃不完[捂脸][捂脸][捂脸],1679537770,意大利面,食品,冬冬
🌈***,2,我根本吃不完好大一份的。,1679537772,意大利面,食品,冬冬
张***,2,好吃是好吃，面条少,1679537772,意大利面,食品,冬冬
樱***,1,很多的量，一大一小都够,1679537773,意大利面,食品,冬冬
S***,2,我跟儿子吃一份,1679537773,意大利面,食品,冬冬
香***,2,很好吃,1679537779,意大利面,食品,冬冬
苏***,0,我一主妇，不够吃。四种都好吃。,1679537779,意大利面,食品,冬冬
张***,2,我也不够吃,1679537779,意大利面,食品,冬冬
鱼***,0,意面拍了,1679537783,意大利面,食品,冬冬
退***,2,天天直播饭钱也省了吧,1679537784,意大利面,食品,冬冬
宝***,0,蓝莓干儿,1679537785,意大利面,食品,冬冬
燕***,2,我和两个宝宝吃一份,1679537785,意大利面,食品,冬冬
落***,0,我家7岁女宝吃一份,1679537787,意大利面,食品,冬冬
辰***,1,特仑苏的牛奶开价了吗？,1679537789,意大利面,食品,冬冬
北***,2,我儿子喜欢吃咖喱鸡的,1679537789,意大利面,食品,冬冬
🌈***,2,男孩，味口好，能吃[捂脸],1679537791,意大利面,食品,冬冬
芾***,2,第二种没货了,1679537794,意大利面,食品,冬冬
丹***,0,够吃,1679537795,意大利面,食品,冬冬
💨***,0,因人而异，,1679537797,意大利面,食品,冬冬
Z***,0,我也不够吃,1679537797,意大利面,食品,冬冬
张***,2,我儿子三岁不够吃一包,1679537799,意大利面,食品,冬冬
不***,2,来啦,1679537800,意大利面,食品,冬冬
嘹***,2,我是女生，一份我也不够吃[捂脸],1679537800,意大利面,食品,冬冬
东***,0,小黄车均己开价，有喜欢的品可以直接拍，想要了解更多的可以看下详情页或回放哦，具体咨询链接左下角客服哈,1679537800,意大利面,食品,冬冬
燕***,0,饭量大的可以煮鸡蛋和蔬菜，营养更全面,1679537800,意大利面,食品,冬冬
媛***,0,我吃完一份刚饱，挺饱的,1679537802,意大利面,食品,冬冬
御***,2,家长很喜欢吃,1679537803,意大利面,食品,冬冬
燕***,2,加了鸡蛋和蔬菜,1679537803,意大利面,食品,冬冬
唯***,1,哪个口味的最好吃,1679537805,意大利面,食品,冬冬
安***,2,我天11点顿顿又来抢钱了[捂脸],1679537806,意大利面,食品,冬冬
北***,2,三里屯得7.80,1679537806,意大利面,食品,冬冬
七***,2,一份我俩人分,1679537807,意大利面,食品,冬冬
🌸***,2,我和我女儿也是一份够了,1679537808,意大利面,食品,冬冬
无***,0,今天有没有保鲜饭盒,1679537808,意大利面,食品,冬冬
夏***,0,哈冬冬回复我了[赞][呲牙],1679537811,意大利面,食品,冬冬
媛***,0,不多不少,1679537819,意大利面,食品,冬冬
姑***,2,我和我儿子一次一袋都吃不完,1679537823,意大利面,食品,冬冬
张***,2,我儿子3岁一次吃一包,1679537825,盐焗鸡,食品,冬冬
